+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|             0 |           0 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
|             0 |          20 | -1,0,-1,-1,-1,-1 |                80 |                 75 | 
|             0 |          40 |  4,0,-1,-1,-1,-1 |                40 |                 35 | 
|             0 |           6 |   4,0,-1,-1,6,-1 |                34 |                 27 | 
|            10 |          10 |    4,0,-1,2,6,-1 |                24 |                 17 | 
|            60 |          10 |   4,0,-1,-1,6,-1 |                34 |                 27 | 
|            69 |          20 |  4,-1,-1,-1,6,-1 |                54 |                 52 | 
|            70 |          25 |   4,3,-1,-1,6,-1 |                29 |                 27 | 
|           107 |           6 |  4,3,-1,-1,-1,-1 |                35 |                 35 | 
|           119 |          40 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           120 |          24 |  1,3,-1,-1,-1,-1 |                51 |                 35 | 
|           136 |          24 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           137 |          21 |  5,3,-1,-1,-1,-1 |                54 |                 35 | 
|           162 |          25 | 5,-1,-1,-1,-1,-1 |                79 |                 60 | 
|           166 |          21 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
+------------------------------------------------------------------------------------------+
