+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|             0 |           0 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
|             0 |          20 | -1,0,-1,-1,-1,-1 |                80 |                 75 | 
|             0 |          40 |  4,0,-1,-1,-1,-1 |                40 |                 35 | 
|             0 |           6 |   4,0,-1,-1,6,-1 |                34 |                 27 | 
|            10 |          10 |    4,0,-1,2,6,-1 |                24 |                 17 | 
|            67 |           6 |   4,0,-1,2,-1,-1 |                30 |                 25 | 
|            86 |          10 |  4,0,-1,-1,-1,-1 |                40 |                 35 | 
|            95 |          20 | 4,-1,-1,-1,-1,-1 |                60 |                 60 | 
|            96 |          25 |  4,3,-1,-1,-1,-1 |                35 |                 35 | 
|           117 |          40 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           118 |          24 |  1,3,-1,-1,-1,-1 |                51 |                 35 | 
|           134 |          24 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           135 |          21 |  5,3,-1,-1,-1,-1 |                54 |                 35 | 
|           164 |          21 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           167 |          25 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
+------------------------------------------------------------------------------------------+
