+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|             0 |           0 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
|             0 |          23 | -1,0,-1,-1,-1,-1 |                77 |                 75 | 
|             0 |          15 |  -1,0,1,-1,-1,-1 |                62 |                 60 | 
|            12 |          16 |   2,0,1,-1,-1,-1 |                46 |                 20 | 
|            30 |           5 |    2,0,1,-1,6,-1 |                41 |                 12 | 
|            37 |          23 |   2,-1,1,-1,6,-1 |                64 |                 37 | 
|            38 |          22 |    2,4,1,-1,6,-1 |                42 |                 12 | 
|            61 |          16 |   -1,4,1,-1,6,-1 |                58 |                 52 | 
|            62 |          35 |    5,4,1,-1,6,-1 |                23 |                 12 | 
|            62 |          15 |   5,4,-1,-1,6,-1 |                38 |                 27 | 
|           105 |          35 |  -1,4,-1,-1,6,-1 |                73 |                 67 | 
|           106 |          40 |   3,4,-1,-1,6,-1 |                33 |                 27 | 
|           135 |          40 |  -1,4,-1,-1,6,-1 |                73 |                 67 | 
|           144 |           5 | -1,4,-1,-1,-1,-1 |                78 |                 75 | 
|           154 |          22 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
+------------------------------------------------------------------------------------------+
