+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|             0 |           0 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
|             0 |          20 | -1,0,-1,-1,-1,-1 |                80 |                 75 | 
|             0 |          40 |  4,0,-1,-1,-1,-1 |                40 |                 35 | 
|             0 |           6 |   4,0,-1,-1,6,-1 |                34 |                 27 | 
|            10 |          10 |    4,0,-1,2,6,-1 |                24 |                 17 | 
|            47 |           6 |   4,0,-1,2,-1,-1 |                30 |                 25 | 
|            59 |          20 |  4,-1,-1,2,-1,-1 |                50 |                 50 | 
|            60 |          25 |   4,3,-1,2,-1,-1 |                25 |                 25 | 
|            94 |          40 |  -1,3,-1,2,-1,-1 |                65 |                 65 | 
|            95 |          21 |   5,3,-1,2,-1,-1 |                44 |                 25 | 
|           110 |          10 |  5,3,-1,-1,-1,-1 |                54 |                 35 | 
|           137 |          21 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           138 |          24 |  1,3,-1,-1,-1,-1 |                51 |                 35 | 
|           156 |          24 | -1,3,-1,-1,-1,-1 |                75 |                 75 | 
|           173 |          25 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
+------------------------------------------------------------------------------------------+
